Plant,Event Date,Description,Result,ASP Report
Catawba 1,2/25/1993,Three out of four ESW trains unavailable,2.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G734.pdf
Catawba 2,2/25/1993,Three out of four ESW trains unavailable,2.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G734.pdf
Three Mile Island 1,1/29/1993,Both decay heat coolers unavailable due to operator error rendering high-pressure recirculation unavailable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A214.pdf
South Texas 1,1/22/1993,EDG inoperable due to binding of fuel metering rods and TDAFW pump failure while another EDG unavailable due to maintenance,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A206.pdf
Sequoyah 1,12/31/1992,LOOP due to breaker fault,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A200.pdf
Sequoyah 2,12/31/1992,LOOP due to breaker fault,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A200.pdf
Oconee 1,12/2/1992,Both Keowee hydro units unavailable to power standby busses due to relay/breaker modification,3.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H294.pdf
Oconee 2,12/2/1992,Both Keowee hydro units unavailable to power standby busses due to relay/breaker modification,3.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H294.pdf
Oconee 3,12/2/1992,Both Keowee hydro units unavailable to power standby busses due to relay/breaker modification,3.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H294.pdf
Oconee 2,10/19/1992,LOOP caused by improper switchyard battery replacement with a Keowee unit potentially unavailable and degraded TDAFW pump,2.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H295.pdf
Callaway,10/17/1992,MCR annunciators unavailable due to failed power supplies and blown fuses,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G731.pdf
Turkey Point 4,9/29/1992,Reactor trip due to loss of feedwater with one AFW pump unavailable due to maintenance,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A219.pdf
Point Beach 2,9/18/1992,Foreign debris renders a train of high-pressure recirculation unavailable,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H310.pdf
Turkey Point 3,8/24/1992,LOOP due to Hurricane Andrew while plants were shutdown,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A217.pdf
LaSalle 2,8/27/1992,Reactor trip with degraded RCIC,6.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G971.pdf
Turkey Point 4,8/24/1992,LOOP due to Hurricane Andrew while plants were shutdown,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A217.pdf
Robinson,8/22/1992,LOOP with degraded SI due to foreign debris,2.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H317.pdf
Trojan,7/22/1992,Reactor trip and TDAFW pump fails to start,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A216.pdf
Sequoyah 2,7/17/1992,"EDG, RHR pump, and charging pump unavailable",2.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A202.pdf
Oconee 1,7/16/1992,Both Keowee units unavailable,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H293.pdf
Oconee 2,7/16/1992,Both Keowee units unavailable,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H293.pdf
Robinson,7/10/1992,Foreign debris leads to degraded SI trains,4.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H316.pdf
Oconee 3,7/16/1992,Both Keowee units unavailable,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H293.pdf
Indian Point 3,7/6/1992,Multiple EDGs inoperable,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G968.pdf
Fort Calhoun,7/3/1992,Reactor trip with faulty pressurizer safety valve,3.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G955.pdf
Oconee 1,5/8/1992,Reactor trip with unavailable/degraded AFW trains,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G983.pdf
Indian Point 2,4/13/1992,Reactor trip and AFW pump problems,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G966.pdf
Oyster Creek,5/3/1992,LOOP due to forest fire,7.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H300.pdf
Crystal River,3/27/1992,LOOP with inoperable vital bus inverter and degraded EDG,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G739.pdf
Susquehanna 2,3/18/1992,Reactor trip with EDG and vital bus unavailable,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A213.pdf
Quad Cities 1,2/6/1992,Reactor trip with HPCI unavailable due to maintenance and one SRV failing to open,7.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H313.pdf
Pilgrim,10/30/1991,Severe storm causes LOOP due to salt buildup on transformer with subsequent RCIC pump trip,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H307.pdf
Salem 1,9/20/1991,Both PORVs failed due to leaking actuators,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H318.pdf
Peach Bottom 3,9/24/1991,Control wiring for ADS valves found damaged with HPCI degraded,3.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H302.pdf
Oconee 1,9/19/1991,Potential for hydrogen entrainment in HPI pumps during SLOCA,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H292.pdf
Oconee 2,9/19/1991,Potential for hydrogen entrainment in HPI pumps during SLOCA,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H292.pdf
Oconee 3,9/19/1991,Potential for hydrogen entrainment in HPI pumps during SLOCA,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H292.pdf
Diablo Canyon 2,9/1/1991,Containment sump isolation valves and CSS pump unavailable,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G742.pdf
Millstone 2,8/21/1991,Both EDGs unavailable lead to unit shutdown,2.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G977.pdf
Nine Mile Point 2,8/13/1991,Reactor trip due to the loss of five non-safety uninterruptible power supplies,4.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G981.pdf
San Onofre 1,8/7/1991,Inoperable VCT level transmitters,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A197.pdf
Fitzpatrick,8/5/1991,Hydraulic pressure locking of LPCI and LPCS injection valves,1.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G748.pdf
Brunswick 1,7/18/1991,Reactor trip due to loss of feedwater with degraded HPCI system,6.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G729.pdf
Surry 2,7/15/1991,Both EDGs inoperable for 13 hours,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A211.pdf
Oconee 3,7/3/1991,Reactor trip due to loss of feedwater with one AFW flow control valve unavailable,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H297.pdf
Yankee-Rowe,6/15/1991,LOOP due to lightning strike,6.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A226.pdf
Seabrook,6/27/1991,LOOP,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A198.pdf
Zion 2,6/11/1991,Reactor trip due feedwater pump trip with one AFW pump failed,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A229.pdf
Shearon Harris,6/3/1991,Reactor trip breaker fails to open on trip,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A205.pdf
Fitzpatrick,5/7/1991,Reactor trip with both LPCI trains inoperable,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G747.pdf
Vermont Yankee,4/23/1991,Extended LOOP,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A220.pdf
ANO 2,4/16/1991,Both normal SW trains fouled by debris,5.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G723.pdf
Millstone 3,4/10/1991,Both trains of HPSI inoperable due to relief valve failure,8.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G980.pdf
Comanche Peak 1,3/26/1991,Charging pump potentially unavailable due to hydrogen voids,6.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G737.pdf
Shearon Harris,4/3/1991,HPI unavailable because of inoperable alternate minimum flow valves,6.00E-03,https://www.nrc.gov/docs/ML2014/ML20140A204.pdf
Zion 2,3/21/1991,LOOP with one EDG inoperable for maintenance,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A228.pdf
Perry,3/14/1991,Two EDGs inoperable,5.00E-04,https://www.nrc.gov/docs/ML2013/ML20135H304.pdf
McGuire 1,2/11/1991,Switchyard breaker test results in LOOP,3.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G974.pdf
Hatch 1,1/18/1991,Reactor trip due to loss of feedwater with HPCI degraded and RCIC failed,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G963.pdf
Indian Point 2,1/7/1991,Reactor trip and AFW pump failure,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G965.pdf
Wolf Creek,12/23/1990,SI pumps minimum flow return line frozen,5.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A223.pdf
Salem 2,12/20/1990,One train of SI unavailable due to cooling water leak while an EDG was out for maintenance,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H321.pdf
Ginna,12/12/1990,Reactor trip with manual and automatic safeguards initiation disabled,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G956.pdf
Zion 1,11/6/1990,Two of three EDGs inoperable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A227.pdf
Braidwood 1,9/29/1990,Reactor trip due to SSPS train actuation and subsequent trip of AFW pump,2.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G727.pdf
Fort Calhoun,9/29/1990,CCW would fail on loss of instrument air,2.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G954.pdf
Fort Calhoun,9/13/1990,An EDG failure with a similar condition on another EDG,7.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G751.pdf
Pilgrim,9/2/1990,"Reactor scram due to feedwater control system failure and subsequent RCIC, HPCI, and RHR problems",8.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H306.pdf
Sequoyah 2,8/22/1990,Gas accumulation in charging and HPI pumps suction,6.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A201.pdf
Indian Point 3,8/9/1990,All EDGs potentially inoperable,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G967.pdf
Dresden 2,8/2/1990,Stuck-open SRV followed by reactor scram,3.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G744.pdf
Haddam Neck,7/9/1990,Incorrect valve installation could gas bind charging system,6.00E-04,https://www.nrc.gov/docs/ML2013/ML20135G957.pdf
McGuire 1,6/26/1990,Both EDGs inoperable,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K465.pdf
San Onofre 1,5/15/1990,Reactor trip with an AFW pump in maintenance,8.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A196.pdf
Clinton,5/14/1990,Both EDGs inoperable due to inadequate water supply,5.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G736.pdf
Oyster Creek,4/21/1990,Failure of safety-related 480V bus leads to reactor trip with a subsequent failure of the isolation condenser,9.00E-05,https://www.nrc.gov/docs/ML2013/ML20135H299.pdf
Calvert Cliffs 1,3/30/1990,Inoperable pressurizer PORV,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G732.pdf
Millstone 3,3/30/1990,Seaweed intrusion causes loss of main condenser vacuum and subsequent reactor trip with CSS recirculation train unavailable,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G979.pdf
Vogtle 1,3/20/1990,LOOP with both EDGs inoperable results in SBO while in mid-loop operation,9.00E-04,https://www.nrc.gov/docs/ML2014/ML20140A221.pdf
Fort Calhoun,3/16/1990,Unavailability of AFW following postulated MSLB,1.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G750.pdf
San Onofre 1,2/20/1990,Improper valve failure mode could lead to failure of charging pumps,6.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A195.pdf
Quad Cities 1,2/13/1990,Two EDGs out of service,4.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H312.pdf
Susquehanna 1,2/3/1990,Fault on RPS bus causes loss of SDC,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20140A212.pdf
Salem 2,1/17/1990,HPI inoperable due to leaking weld,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H320.pdf
Dresden 2,1/16/1990,Reactor scram followed by LOOP,3.00E-06,https://www.nrc.gov/docs/ML2013/ML20135G743.pdf
St. Lucie 2,1/14/1990,Reactor trip due to loss of feedwater and failure of TDAFW pump,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20140A209.pdf
Hatch 2,1/12/1990,Reactor scram with HPCI inoperable,6.00E-05,https://www.nrc.gov/docs/ML2013/ML20135G964.pdf
Perry,1/7/1990,Reactor scram with subsequent RCIC isolation,1.00E-06,https://www.nrc.gov/docs/ML2013/ML20135H303.pdf
Sequoyah 1,12/16/1989,RWST level and other instrument transmitters inoperable,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A234.pdf
Sequoyah 2,12/16/1989,RWST level and other instrument transmitters inoperable,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A234.pdf
Limerick 2,12/11/1989,Reactor scram with degraded HPCI,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K402.pdf
Grand Gulf,12/6/1989,Lightning strike causes a reactor scram while RCIC was out of service due to testing,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K346.pdf
Farley 1,11/12/1989,Reactor trip with the MDAFW pumps failing to start under manual control,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K330.pdf
Three Mile Island 1,11/14/1989,Oil sludge renders EDGs inoperable,2.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A149.pdf
Fitzpatrick,11/12/1989,Reactor scram with HPCI system inoperable while testing SRVs,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K338.pdf
Fitzpatrick,11/5/1989,Reactor scram with HPCI system inoperable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K337.pdf
Trojan,10/30/1989,HPI inoperable due to isolation of volume control tank during testing,2.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A158.pdf
ANO 1,10/12/1989,Automatic start of two SW pump circuits inhibited due to wiring error,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A335.pdf
Shearon Harris,10/9/1989,Reactor trip and trip of the TDAFW pump,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A243.pdf
McGuire 2,9/5/1989,CSS heat exchanger gasket failure,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K467.pdf
D.C. Cook 2,8/14/1989,Reactor trip due to under-voltage on MCR panel,9.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A524.pdf
Summer,7/11/1989,Reactor trip causes LOOP,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A255.pdf
Crystal River,6/29/1989,LOOP with an EDG unavailable due to maintenance and degraded AFW,6.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A519.pdf
Callaway,6/23/1989,Reactor trip with the loss of power to safety-related bus and its associated EDG in maintenance,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A481.pdf
Brunswick 2,6/17/1989,Reactor manual scram causes a LOOP with RHR train unavailable due to valve failure,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A477.pdf
Crystal River,6/16/1989,LOOP with degraded AFW pump,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A518.pdf
River Bend,5/2/1989,Instrument air solenoid valves were installed backwards impacting ADS operability,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A200.pdf
ANO 2,4/18/1989,Reactor trip with one train of AFW unavailable,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A340.pdf
Point Beach 2,3/29/1989,LOOP due to inadvertent fire deluge system actuation caused by operator error,3.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A140.pdf
Dresden 3,3/25/1989,LOOP with multiple trains of LPCI unavailable and degraded HPCI,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A544.pdf
Calvert Cliffs 1,3/14/1989,Failure of saltwater system valves due to instrument air leakage could cause failure of high-pressure recirculation,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A487.pdf
Shearon Harris,3/14/1989,Reactor trip with one TDAFW pump in maintenance,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A242.pdf
McGuire 1,3/7/1989,SGTR,8.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K464.pdf
Fitzpatrick,3/6/1989,Inadvertent SRV actuation with HPCI inoperable,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K336.pdf
Duane Arnold,3/4/1989,Reactor scram with RCIC out of service,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A550.pdf
Palo Verde 3,3/3/1989,Reactor trip with ADVs and nonsafety-related buses unavailable,5.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A120.pdf
North Anna 1,2/25/1989,Reactor trip with subsequent SG tube leak and RHR suction valve failure,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K478.pdf
Shearon Harris,1/16/1989,Reactor trip with failure of the TDAFW pump,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A241.pdf
Hatch 1,12/17/1988,Reactor trip due to loss of feedwater with degraded RCIC,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K358.pdf
Indian Point 2,12/11/1988,RWST level indication inoperable,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K387.pdf
Palisades,11/4/1988,Potential loss of SW pumps,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K497.pdf
Zion 1,10/25/1988,Potential for AFW and CCW pumps automatic start failure,1.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A178.pdf
Braidwood 1,10/16/1988,LOOP for approximately two hours,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A347.pdf
Oyster Creek,10/2/1988,Reactor trip with one safety-related bus unavailable,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K494.pdf
Trojan,9/17/1988,Both trains of SI and one EDG inoperable,9.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A158.pdf
Trojan,9/16/1988,Reactor trip with one SI pump out for maintenance,2.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A157.pdf
Trojan,9/15/1988,Loss of volume control tank isolation capability,3.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A156.pdf
Oyster Creek,9/2/1988,Both trains of isolation condenser inoperable,4.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K493.pdf
Maine Yankee,8/13/1988,LOOP,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K404.pdf
Nine Mile Point 2,7/28/1988,Both EDGs unavailable for 42 hours,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K473.pdf
Diablo Canyon 2,7/17/1988,LOOP,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A535.pdf
Byron 2,7/14/1988,Reactor trip due to loss of feedwater with AFW pump failure,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A480.pdf
Sequoyah 2,6/6/1988,Reactor trip with failure of TDAFW pump,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A237.pdf
Vogtle 1,6/3/1988,Water leak in MCR causes spurious PORV lift,8.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A172.pdf
Turkey Point 3,5/29/1988,Long term operation of EDGs potentially unavailable due to improperly closed fuel valve,1.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A165.pdf
Hatch 2,5/27/1988,Reactor trip and failure of RCIC pump,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K379.pdf
Columbia,5/22/1988,Both EDGs unavailable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A502.pdf
North Anna 2,5/20/1988,Both EDGs inoperable,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K483.pdf
Sequoyah 2,5/19/1988,Reactor trip with one HPI and AFW train unavailable due to maintenance,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A236.pdf
Diablo Canyon 1,5/5/1988,Degraded EDG unavailable due to clogged filter,4.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A534.pdf
McGuire 1,4/16/1988,Reactor trip and subsequent failure of the TDAFW pump,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K463.pdf
Surry 1,4/15/1988,Inoperable PORVs due to incorrectly torqued bolts,2.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A257.pdf
Indian Point 3,3/31/1988,Reactor trip with the failure of one AFW pump,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K389.pdf
Catawba 2,3/9/1988,Asiatic clams lead degraded AFW flow and subsequent reactor trip,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A500.pdf
Davis-Besse,3/4/1988,Potential unavailability of CCW given loss of instrument air,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A533.pdf
Sequoyah 2,2/12/1988,HPI system unavailable,4.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A235.pdf
Shearon Harris,2/8/1988,SW pump seal water unavailable,5.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A240.pdf
Turkey Point 4,2/7/1988,Reactor shutdown due to inoperability of three battery chargers,2.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A169.pdf
Grand Gulf,1/11/1988,Effective steam line break due to failed open TBVs,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K345.pdf
North Anna 1,1/8/1988,Reactor trip with failure of a TDAFW pump,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K477.pdf
River Bend,12/19/1987,Reactor trip due to loss of feedwater with CST isolated from CRD pumps,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A199.pdf
Wolf Creek,12/11/1987,Both EDGs unavailable for 9 days,1.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A174.pdf
Trojan,12/6/1987,Reactor trip with subsequent TDAFW pump failure,5.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A155.pdf
Pilgrim,11/12/1987,Winter storm causes LOOP with one EDG in maintenance,4.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A139.pdf
Beaver Valley 2,11/17/1987,LOOP,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A346.pdf
Catawba 2,11/3/1987,Reactor trip due to loss of feedwater and subsequent failure of the TDAFW pump,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A499.pdf
Hope Creek,10/10/1987,Reactor trip due loss of feedwater with an SRV failed open,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K380.pdf
Byron 2,10/2/1987,Reactor trip with operator error leads to subsequent LOOP,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A479.pdf
Oconee 3,9/10/1987,HPI not available upon plant start-up due to personnel error,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K491.pdf
McGuire 1,9/8/1987,Incorrect valve labeling leads to unavailability of both EDGs,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K408.pdf
Davis-Besse,9/6/1987,"Reactor trip with unavailable vital bus, SW pump failure, and decay heat removal train failure due to nitrogen void",6.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A532.pdf
McGuire 2,9/6/1987,Electrical failures leads to reactor trip and subsequent failure of PORVs to open with SW train in maintenance,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K466.pdf
Waterford,7/31/1987,Reactor trip with failure of TDAFW pump and control rod assembly failed to insert during runback,2.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A173.pdf
Rancho Seco,7/29/1987,EDG develops cooling water leak while testing with other EDG inoperable for maintenance,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A197.pdf
Calvert Cliffs 1,7/23/1987,LOOP with failure of TDAFW pump,5.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A486.pdf
Hatch 1,7/23/1987,Inverter failure leads to loss of feedwater and reactor trip with subsequent failure of RCIC,8.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K357.pdf
North Anna 1,7/15/1987,SGTR,8.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K476.pdf
Palisades,7/14/1987,Operator error cause deluge system actuation and subsequent LOOP,4.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K496.pdf
Catawba 1,7/6/1987,Feedwater controller failure leads to reactor trip with subsequent failure of both MDAFW trains,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A496.pdf
Fort Calhoun,7/6/1987,Water intrusion into instrument air system causes degraded safety equipment,6.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K341.pdf
Shearon Harris,6/17/1987,Reactor trip with subsequent failure of the TDAFW pump,2.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A239.pdf
Vogtle 1,6/3/1987,AFW system rendered unavailable due to disabled valve actuation circuitry,6.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A171.pdf
Duane Arnold,5/27/1987,Both EDGs unavailable due to incorrect relay setting,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A549.pdf
Byron 2,5/4/1987,Inverter failure fails instrument bus and causes reactor trip,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A478.pdf
St. Lucie 2,4/9/1987,Operator error leads to main steam/feedwater isolation with subsequent reactor trip and failure of TDAFW pump,8.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A252.pdf
Columbia,3/22/1987,Reactor trip with subsequent MSL flooding resulting in RCIC unavailability,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A501.pdf
Brunswick 2,3/11/1987,Reactor trip with HPCI unavailable,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A476.pdf
Perry,3/2/1987,Loss of feedwater leads to reactor trip with RCIC failure,7.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A128.pdf
Perry,2/27/1987,Two EDGs unavailable due failed air solenoid valves,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A127.pdf
Shearon Harris,2/27/1987,Valve failure leads to loss of feedwater and RWST suction valve failed to open,2.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A238.pdf
Susquehanna 1,1/27/1987,Both EDGs unavailable,8.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A266.pdf
Turkey Point 4,1/6/1987,Spurious RPS signal causes reactor trip with a TDAFW pump inoperable,4.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A166.pdf
Brunswick 2,1/5/1987,Grid fluctuation causes reactor trip with RCIC and HPCI failures,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A475.pdf
Turkey Point 3,12/27/1986,Reactor trip with stuck-open PORV,1.00E-03,https://www.nrc.gov/docs/ML2016/ML20161A160.pdf
Turkey Point 3,12/4/1986,TDAFW pumps unavailable,6.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A164.pdf
Pilgrim,11/19/1986,LOOP due to winter storm,8.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A138.pdf
Indian Point 2,10/20/1986,RPS breaker opens causing reactor trip with the failure of two AFW pumps,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K386.pdf
Oconee 1,10/1/1986,Emergency condenser cooling systems unavailable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K488.pdf
Oconee 2,10/1/1986,Emergency condenser cooling systems unavailable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K488.pdf
Oconee 3,10/1/1986,Emergency condenser cooling systems unavailable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K488.pdf
Calvert Cliffs 2,9/5/1986,Reactor trip with a secondary relief valve failed open,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A491.pdf
Dresden 3,8/27/1986,HPCI unavailable with a train of LPCI and LPCS unavailable and EDG failure to load onto bus,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A543.pdf
